ELE008,Elec Cable Single 1.5mm red mtrs,PACLINV0057767,,,"7,581.88","4,575.01",,,"3,006.87",39.66,,,,,,,,,,,,,
ELE009,Elec Cable Single 1.5mm Black Roll,PACLINV0060322,,,"47,327.57","41,053.27",,,"6,274.30",13.26,,,,,,,,,,,,,
ELE010,Elec Cable Single 1.5mm Green Roll,PACLINV0057545,,,"39,310.34","33,140.42",,,"6,169.92",15.70,,,,,,,,,,,,,
ELE011,Elec Cable Single 1.5mm Red Roll,PACLINV0060633,,,"75,431.02","69,284.77",,,"6,146.25",8.15,,,,,,,,,,,,,
ELE013,Elec Cable Single 2.5mm Red mtrs,PACLINV0059901,,,"16,978.42","14,800.00",,,"2,178.42",12.83,,,,,,,,,,,,,
ELE014,Elec Cable Single 2.5mm Black mtrs,PACLINV0059850,,,"13,995.67","9,954.66",,,"4,041.01",28.87,,,,,,,,,,,,,
ELE015,Elec Cable Single 2.5mm Green Roll,PACLINV0044404,,,"35,258.63","31,433.27",,,"3,825.36",10.85,,,,,,,,,,,,,
ELE016,Elec Cable Single 2.5mm Red Roll,PACLINV0059784,,,"54,698.29","48,809.82",,,"5,888.47",10.77,,,,,,,,,,,,,
ELE018,Elec Cable Twin 1.5mm Roll Grey,PACLINV0043835,,,"27,327.58","23,277.82",,,"4,049.76",14.82,,,,,,,,,,,,,
ELE019,Elec Cable Twin 2.5mm Roll,PACLINV0054195,,,"40,517.24","37,122.54",,,"3,394.70",8.38,,,,,,,,,,,,,
ELE026,Elec Top Plug,PACLINV0059381,,,"13,129.25","6,786.38",,,"6,342.87",48.31,,,,,,,,,,,,,
ELE028,Electric Starter,PACLINV0056392,,,137.92,68.96,,,68.96,50.00,,,,,,,,,,,,,
ELE030,Element Shower,PACLINV0059730,,,"7,112.08","5,818.95",,,"1,293.13",18.18,,,,,,,,,,,,,
ELE031,Elec Cable Single 1.5mm Black mtrs,PACLINV0057767,,,"6,525.85","4,000.26",,,"2,525.59",38.70,,,,,,,,,,,,,
ELE032,Elec Cable Single 1.5mm Green mtrs,PACLINV0060183,,,"4,224.12","2,574.88",,,"1,649.24",39.04,,,,,,,,,,,,,
ELE033,Elec Cable Single 2.5mm Black Roll,PACLINV0059784,,,"43,836.22","39,783.72",,,"4,052.50",9.24,,,,,,,,,,,,,
ELE034,Elec Cable Single 2.5mm Green mtrs,PACLINV0057270,,,"11,599.12","8,125.61",,,"3,473.51",29.95,,,,,,,,,,,,,
ELE035,Elec Cable Twin 1.5mm Mtrs,PACLCRN0002878,,,"36,844.79","14,391.00",,,"22,453.79",60.94,,,,,,,,,,,,,
ELE036,Elec Cable Twin 2.5mm Mtrs,PACLINV0061080,,,"79,189.68","60,119.08",,,"19,070.60",24.08,,,,,,,,,,,,,
ELE037,ELEC CABLE FLEX 1.5MM ROLL,PACLINV0033028,,,"14,310.34","12,055.60",,,"2,254.74",15.76,,,,,,,,,,,,,
ELE038,ELEC CABLE FLEX 2.5MM ROLL,PACLINV0051232,,,"11,637.93","9,729.66",,,"1,908.27",16.40,,,,,,,,,,,,,
ELE040,Elec Cable 6mm3 core amoured,PACLINV0039970,,,"53,306.03","48,359.12",,,"4,946.91",9.28,,,,,,,,,,,,,
ELE041,Elec Cable 6mm 2core amoured-16mm,PACLINV0042959,,,"116,379.31","95,737.00",,,"20,642.31",17.74,,,,,,,,,,,,,
ELE042,Elec Cable 2core amoured-10mm,PACLINV0042959,,,"125,517.24","103,649.60",,,"21,867.64",17.42,,,,,,,,,,,,,
ELE043,Elec Cable 6mm 2core amoured-2.5mm,PACLINV0042959,,,"32,586.21","25,650.00",,,"6,936.21",21.29,,,,,,,,,,,,,
ELE044,Elec cable Single core 10mm,PACLINV0044079,,,"8,017.24","7,758.60",,,258.64,3.23,,,,,,,,,,,,,
ELE051,Elec Cable 1.5mm Twin Metres-EA,PACLINV0059712,,,"5,344.83","4,132.10",,,"1,212.73",22.69,,,,,,,,,,,,,
EME001,Emery Cloth No. 0,PACLINV0058903,,,"16,474.15","5,335.44",,,"11,138.71",67.61,,,,,,,,,,,,,
EXP002,Expanded Metal Medium,PACLINV0060934,,,"19,655.17","12,685.10",,,"6,970.07",35.46,,,,,,,,,,,,,
EXT005,Extension Socket 4way,PACLINV0051073,,,"3,318.98","2,917.08",,,401.90,12.11,,,,,,,,,,,,,
EXT006,Extension Socket 6way,PACLINV0057557,,,"7,068.98","6,577.55",,,491.43,6.95,,,,,,,,,,,,,
EYE004,Eye Hook No 2,PACLINV0043885,,,64.65,10.80,,,53.85,83.29,,,,,,,,,,,,,
EYE007,Eye Hook No 6,PACLINV0037755,,,206.89,163.04,,,43.85,21.19,,,,,,,,,,,,,
EYE008,Eye Hook No 8,PACLINV0054797,,,939.65,627.48,,,312.17,33.22,,,,,,,,,,,,,
FEV003,Fevicol Pur 150g,PACLINV0057714,,,"1,508.62",892.98,,,615.64,40.81,,,,,,,,,,,,,
FEV004,Fevicol Pur 1kg,PACLINV0061098,,,"47,801.70","40,329.48",,,"7,472.22",15.63,,,,,,,,,,,,,
FEV005,Fevicol Pur 500gm,PACLINV0057430,,,"32,887.93","27,480.24",,,"5,407.69",16.44,,,,,,,,,,,,,
FEV006,Fevicol Pur 70gm,PACLINV0059428,,,862.06,588.15,,,273.91,31.77,,,,,,,,,,,,,
FIB002,Fibre Cement Board 6mm,PACLINV0040370,,,"25,344.83","13,189.68",,,"12,155.15",47.96,,,,,,,,,,,,,
FIL001,File 10 jk,PACLINV0056482,,,"10,362.04","6,779.38",,,"3,582.66",34.57,,,,,,,,,,,,,
FIL003,File 8 jk,PACLINV0060543,,,"7,180.97","4,584.00",,,"2,596.97",36.16,,,,,,,,,,,,,
FIL004,File Round jk,PACLINV0055693,,,215.52,198.28,,,17.24,8.00,,,,,,,,,,,,,
FIL005,File Saw J.K,PACLINV0056421,,,"1,732.76",968.00,,,764.76,44.14,,,,,,,,,,,,,
FLA001,Flap Disk 4,PACLINV0059743,,,"2,422.43","1,284.92",,,"1,137.51",46.96,,,,,,,,,,,,,
FLA002,Flap Disk 7,PACLINV0058487,,,"5,383.64","3,556.00",,,"1,827.64",33.95,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 14 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Incl),,Cost,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
FLA003,Flush Door,PACLINV0060238,,,"6,637.93","2,700.00",,"5,219.88","1,418.05",21.36,,,,,,,,,,,,,
FLA008,Flashing Handle H/G,PACLINV0059747,,,"1,594.83",400.00,,"1,137.96",456.87,28.65,,,,,,,,,,,,,
FLA009,Flashing Handle L/G,PACLINV0041619,,,577.59,250.00,,413.79,163.80,28.36,,,,,,,,,,,,,
FLA010,Flat 11/2x1/4,PACLINV0041835,,,"17,801.71","1,550.00",,"15,835.01","1,966.70",11.05,,,,,,,,,,,,,
FLA011,Flat 11/2x1/8,PACLINV0056171,,,"46,426.72",710.00,,"30,965.97","15,460.75",33.30,,,,,,,,,,,,,
FLA013,Flat 1x1/4,PACLINV0060951,,,"35,086.22","1,000.00",,"29,824.14","5,262.08",15.00,,,,,,,,,,,,,
FLA014,Flat 1x1/8,PACLINV0057212,,,"62,103.42",550.00,,"40,277.08","21,826.34",35.15,,,,,,,,,,,,,
FLA015,Flat 2x1/4,PACLINV0060097,,,"36,809.48","9,400.00",,"31,569.64","5,239.84",14.24,,,,,,,,,,,,,
FLA016,Flat 2x1/8,PACLINV0049981,,,"44,525.86",950.00,,"36,559.06","7,966.80",17.89,,,,,,,,,,,,,
FLA017,Flat 3/4x1/4,PACLINV0056297,,,"5,818.97","3,000.00",,"4,942.98",875.99,15.05,,,,,,,,,,,,,
FLA018,Flat 3/4x1/8,PACLINV0059743,,,"22,530.15","8,750.00",,"12,225.14","10,305.01",45.74,,,,,,,,,,,,,
FLA019,Bosch Flap Disc 4  P40,PACLINV0032321,,,"1,293.10","7,500.00",,785.00,508.10,39.29,,,,,,,,,,,,,
FLA020,Bosch Flap Disc 4 P 120,PACLINV0033508,,,"1,025.86","1,000.00",,785.00,240.86,23.48,,,,,,,,,,,,,
FLE001,Flex Conduit 25mm Mtrs,PACLINV0060183,,,"1,750.01","4,000.00",,910.36,839.65,47.98,,,,,,,,,,,,,
FLE002,Flex Tube Metallic 1/2x1.5ft,PACLINV0056613,,,"34,801.72",250.00,,"13,605.06","21,196.66",60.91,,,,,,,,,,,,,
FLE004,Flex Tube Plastic 1/2x2ft,PACLINV0044609,,,"4,387.94","4,000.00",,"3,694.80",693.14,15.80,,,,,,,,,,,,,
FLE007,Flex Tube Plastic 1/2x1.5ft,PACLINV0028909,,,129.31,150.00,,94.89,34.42,26.62,,,,,,,,,,,,,
FLE008,Flex Tube 1/2x1ft,PACLINV0060782,,,"1,249.99",250.00,,752.29,497.70,39.82,,,,,,,,,,,,,
FLE009,Flex metallic Tube 1/2x2ft,PACLINV0058221,,,"10,491.38","1,000.00",,"4,821.22","5,670.16",54.05,,,,,,,,,,,,,
FLE010,Flex Tube 11/2x1/2 M/F,PACLINV0034121,,,258.62,300.00,,215.52,43.10,16.67,,,,,,,,,,,,,
FLE011,Flex Tube Plastic 3/4x1.5ft,PACLINV0043420,,,646.55,250.00,,360.00,286.55,44.32,,,,,,,,,,,,,
FLE012,Flex Tube Metallic 1/2x1ft,PACLINV0059587,,,"5,646.55",150.00,,"2,535.90","3,110.65",55.09,,,,,,,,,,,,,
FLE013,Flex conduit 20mm Mtrs,PACLINV0056775,,,"2,344.84",640.00,,"1,071.00","1,273.84",54.33,,,,,,,,,,,,,
FLE015,Flex conduit  Roll 25mm black,PACLINV0040250,,,"2,068.96","1,200.00",,"1,551.72",517.24,25.00,,,,,,,,,,,,,
FLE017,Flex conduit  Roll 25mm white,PACLINV0040568,,,"3,094.82","1,200.00",,"2,327.58",767.24,24.79,,,,,,,,,,,,,
FLO001,Float Switch,PACLINV0051153,,,"2,224.13",700.00,,"1,546.80",677.33,30.45,,,,,,,,,,,,,
FLO004,Floor Drain,PACLCRN0002698,,,"4,267.23",-362.06,,"2,793.12","1,474.11",34.54,,,,,,,,,,,,,
FLU001,Flusher Plug pkts,PACLINV0058537,,,"3,448.28",750.00,,"2,370.70","1,077.58",31.25,,,,,,,,,,,,,
FOO003,Foot Valve 1 peggler,PACLINV0050725,,,"4,051.73",550.00,,"2,685.95","1,365.78",33.71,,,,,,,,,,,,,
FOO004,Foot Valve 1/2,PACLINV0040393,,,732.75,360.00,,603.44,129.31,17.65,,,,,,,,,,,,,
FOO007,Foot Valve 3/4 pegler,PACLINV0030526,,,"1,724.13",650.00,,"1,001.28",722.85,41.93,,,,,,,,,,,,,
FOO008,Foot Valve 3/4,PACLINV0058897,,,"4,431.04","1,800.00",,"3,503.30",927.74,20.94,,,,,,,,,,,,,
FOO009,Foot Valve 1,PACLINV0057389,,,"3,181.03","2,120.00",,"2,246.10",934.93,29.39,,,,,,,,,,,,,
FOR001,Force Pump small,PACLINV0034657,,,163.79,190.00,,85.94,77.85,47.53,,,,,,,,,,,,,
FOR002,Fork Jembe 1.5LB,PACLINV0060399,,,"4,655.15",650.00,,"3,456.92","1,198.23",25.74,,,,,,,,,,,,,
FOR003,Fork Jembe 2.5LB,PACLINV0056460,,,"8,461.19",500.00,,"5,879.51","2,581.68",30.51,,,,,,,,,,,,,
FOR004,Fork Jembe 3.5LB,PACLINV0059992,,,"12,758.59","2,600.00",,"8,963.49","3,795.10",29.75,,,,,,,,,,,,,
FOR006,Force Pump Big,PACLINV0058523,,,698.27,250.00,,350.32,347.95,49.83,,,,,,,,,,,,,
FRI001,Fridge Guard,PACLINV0056978,,,"2,629.31","3,600.00",,"1,749.24",880.07,33.47,,,,,,,,,,,,,
GAL003,Galvanised Wire Kgs,PACLINV0042138,,,323.28,562.50,,232.75,90.52,28.00,,,,,,,,,,,,,
GAL006,Galvanized Wire 2mm,PACLINV0030510,,,"5,000.00","5,800.00",,"3,620.69","1,379.31",27.59,,,,,,,,,,,,,
GAR007,GARDENA HOSE CONNECTOR,PACLINV0029671,,,215.52,250.00,,100.00,115.52,53.60,,,,,,,,,,,,,
GAT002,Gate Valve 1,PACLINV0059650,,,"44,879.33","22,500.00",,"35,331.65","9,547.68",21.27,,,,,,,,,,,,,
GAT003,Gate Valve 1/2,PACLINV0058208,,,"13,965.48",500.00,,"9,599.31","4,366.17",31.26,,,,,,,,,,,,,
GAT004,Gate Valve 11/2,PACLCRN0002860,,,"13,931.04","-1,086.20",,"10,869.24","3,061.80",21.98,,,,,,,,,,,,,
GAT005,Gate Valve 11/4,PACLINV0058193,,,"29,310.33","1,800.00",,"26,203.01","3,107.32",10.60,,,,,,,,,,,,,
GAT006,Gate Valve 2 pegler,PACLINV0051312,,,"12,336.21","3,500.00",,"11,034.48","1,301.73",10.55,,,,,,,,,,,,,
GAT007,Gate Valve 3/4,PACLINV0059650,,,"99,439.59","31,850.00",,"66,954.30","32,485.29",32.67,,,,,,,,,,,,,
GAT008,Gate Valve 1 pegler,PACLINV0060067,,,"46,991.42",900.00,,"37,266.12","9,725.30",20.70,,,,,,,,,,,,,
GI 001,Gi Back Nut 1,PACLINV0058960,,,"1,435.35",45.00,,650.05,785.30,54.71,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 15 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Incl),,Cost,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
GI 002,Gi Back Nut 1/2,PACLINV0056380,,,301.72,160.00,,105.68,196.04,64.97,,,,,,,,,,,,,
GI 004,Gi Back Nut 11/4,PACLINV0041807,,,258.62,100.00,,137.46,121.16,46.85,,,,,,,,,,,,,
GI 005,Gi Back Nut 2,PACLINV0052390,,,892.24,135.00,,661.50,230.74,25.86,,,,,,,,,,,,,
GI 006,Gi Back Nut 3/4,PACLINV0046439,,,"1,530.17",315.00,,687.66,842.51,55.06,,,,,,,,,,,,,
GI 007,Gi Barrel Nipple 1,PACLINV0043587,,,443.96,180.00,,324.84,119.12,26.83,,,,,,,,,,,,,
GI 008,Gi Barrel Nipple 1/2,PACLINV0061029,,,"1,362.05",40.00,,718.83,643.22,47.22,,,,,,,,,,,,,
GI 012,Gi Barrel Nipple 3/4,PACLINV0055689,,,629.30,220.00,,262.21,367.09,58.33,,,,,,,,,,,,,
GI 014,Gi Bend 1/2,PACLINV0047401,,,258.62,900.00,,168.09,90.53,35.01,,,,,,,,,,,,,
GI 015,Gi Bend 11/2,PACLINV0029190,,,258.62,300.00,,143.10,115.52,44.67,,,,,,,,,,,,,
GI 018,Gi Bend 3/4,PACLINV0045938,,,60.34,70.00,,42.00,18.34,30.39,,,,,,,,,,,,,
GI 019,Gi Cup  Female 1,PACLINV0056721,,,521.54,"4,500.00",,301.70,219.84,42.15,,,,,,,,,,,,,
GI 020,Gi Cup Female 1/2,PACLINV0061305,,,"15,672.41","16,000.00",,"6,077.05","9,595.36",61.22,,,,,,,,,,,,,
GI 021,Gi Cup Female 11/2,PACLINV0030332,,,43.10,50.00,,17.24,25.86,60.00,,,,,,,,,,,,,
GI 023,Gi Cup Female 3/4,PACLINV0056209,,,"1,124.97",800.00,,505.23,619.74,55.09,,,,,,,,,,,,,
GI 024,Gi Elbow 1,PACLINV0058219,,,"1,043.10",70.00,,674.40,368.70,35.35,,,,,,,,,,,,,
GI 025,Gi Elbow 1/2,PACLINV0056850,,,"2,435.32",25.00,,"1,156.62","1,278.70",52.51,,,,,,,,,,,,,
GI 028,Gi Elbow 2,PACLINV0040670,,,517.24,"1,200.00",,431.04,86.20,16.67,,,,,,,,,,,,,
GI 029,Gi Elbow 3/4,PACLINV0044834,,,556.03,"2,520.00",,345.84,210.19,37.80,,,,,,,,,,,,,
GI 030,Gi Hex Nipple 1,PACLINV0060559,,,672.40,50.00,,342.52,329.88,49.06,,,,,,,,,,,,,
GI 031,Gi Hex Nipple 1/2,PACLINV0057188,,,"21,892.21",100.00,,"8,222.78","13,669.43",62.44,,,,,,,,,,,,,
GI 032,Gi Hex Nipple 11/2,PACLINV0052059,,,732.77,130.00,,594.58,138.19,18.86,,,,,,,,,,,,,
GI 033,Gi Hex Nipple 11/4,PACLINV0049135,,,181.04,90.00,,144.76,36.28,20.04,,,,,,,,,,,,,
GI 034,Gi Hex Nipple 2,PACLINV0040670,,,387.93,600.00,,290.61,97.32,25.09,,,,,,,,,,,,,
GI 035,Gi Hex Nipple 3/4,PACLINV0060067,,,"2,405.13",40.00,,"1,342.88","1,062.25",44.17,,,,,,,,,,,,,
GI 036,Gi Long Thread Nipple 1,PACLINV0060868,,,"1,116.35",70.00,,656.80,459.55,41.17,,,,,,,,,,,,,
GI 037,Gi Long Thread Nipple 1/2,PACLINV0059586,,,409.47,40.00,,180.62,228.85,55.89,,,,,,,,,,,,,
GI 038,Gi Long Thread Nipple 11/2,PACLINV0054459,,,314.65,180.00,,206.90,107.75,34.24,,,,,,,,,,,,,
GI 039,Gi Long Thread Nipple 11/4,PACLINV0054484,,,603.44,640.00,,413.80,189.64,31.43,,,,,,,,,,,,,
GI 040,Gi Long Thread Nipple 2,PACLINV0059230,,,344.82,200.00,,310.34,34.48,10.00,,,,,,,,,,,,,
GI 041,Gi Long Thread Nipple 3/4,PACLINV0046439,,,896.54,40.00,,449.65,446.89,49.85,,,,,,,,,,,,,
GI 042,Gi Plug Male 1,PACLCRN0001562,,,0.00,"-1,564.08",,0.00,0.00,0.00,,,,,,,,,,,,,
GI 043,Gi Plug Male 1/2,PACLINV0060947,,,"7,418.08",750.00,,"2,753.31","4,664.77",62.88,,,,,,,,,,,,,
GI 045,Gi Plug Male 3/4,PACLINV0042092,,,599.13,40.00,,245.70,353.43,58.99,,,,,,,,,,,,,
GI 046,Gi Red Bush 11/2x11/4,PACLINV0031136,,,0.00,80.00,,0.00,0.00,0.00,,,,,,,,,,,,,
GI 047,Gi Red Bush 11/2x3/4,PACLINV0045156,,,155.17,180.00,,103.45,51.72,33.33,,,,,,,,,,,,,
GI 048,Gi Red Bush 11/4x1,PACLINV0058219,,,189.65,80.00,,134.49,55.16,29.09,,,,,,,,,,,,,
GI 051,Gi Red Bush 1x3/4,PACLINV0060067,,,357.76,40.00,,193.95,163.81,45.79,,,,,,,,,,,,,
GI 052,Gi Red Bush 2x1,PACLINV0042348,,,86.21,100.00,,56.90,29.31,34.00,,,,,,,,,,,,,
GI 053,Gi Red Bush 2x11/2,PACLINV0033225,,,137.94,80.00,,113.80,24.14,17.50,,,,,,,,,,,,,
GI 056,Gi Red Bush 3/4x1/2,PACLINV0057461,,,"1,030.17",35.00,,400.40,629.77,61.13,,,,,,,,,,,,,
GI 057,Gi Red Socket 11/2x1,PACLINV0052059,,,443.97,150.00,,344.84,99.13,22.33,,,,,,,,,,,,,
GI 058,Gi Red Socket 11/2x1/2,PACLINV0042802,,,137.93,320.00,,101.72,36.21,26.25,,,,,,,,,,,,,
GI 060,Gi Red Socket 11/4x1,PACLCRN0001523,,,172.42,-72.42,,129.32,43.10,25.00,,,,,,,,,,,,,
GI 061,Gi Red Socket 1x1/2,PACLINV0029873,,,168.11,75.00,,129.30,38.81,23.09,,,,,,,,,,,,,
GI 062,Gi Red Socket 1x3/4,PACLINV0055830,,,719.81,80.00,,439.62,280.19,38.93,,,,,,,,,,,,,
GI 064,Gi Red Socket 2 X 3/4,PACLINV0055689,,,129.31,150.00,,78.45,50.86,39.33,,,,,,,,,,,,,
GI 065,Gi Red Socket 3/4x1/2,PACLINV0058960,,,905.15,50.00,,517.66,387.49,42.81,,,,,,,,,,,,,
GI 068,Gi Socket 1,PACLINV0043587,,,995.71,180.00,,650.34,345.37,34.69,,,,,,,,,,,,,
GI 069,Gi Socket 1/2,PACLINV0061305,,,"13,594.80","16,000.00",,"4,935.99","8,658.81",63.69,,,,,,,,,,,,,
GI 070,Gi Socket 11/2,PACLINV0038480,,,0.00,120.00,,0.00,0.00,0.00,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 16 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Incl),,Cost,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
GI 071,Gi Socket 11/4,PACLINV0052059,,,413.80,120.00,,310.36,103.44,25.00,,,,,,,,,,,,,
GI 073,Gi Socket 3/4,PACLINV0059184,,,"1,107.75",240.00,,672.84,434.91,39.26,,,,,,,,,,,,,
GI 074,Gi Stand Pipe 1/2x1.5ft,PACLINV0059184,,,"6,112.06",200.00,,"3,007.66","3,104.40",50.79,,,,,,,,,,,,,
GI 075,Gi Stand Pipe 1/2x1ft,PACLINV0059004,,,"1,344.82",150.00,,128.01,"1,216.81",90.48,,,,,,,,,,,,,
GI 076,Gi Stand Pipe 1/2x2ft,PACLINV0058896,,,"2,060.33",215.00,,"1,297.24",763.09,37.04,,,,,,,,,,,,,
GI 077,Gi Stand Pipe 1/2x3ft,PACLINV0047401,,,"1,379.31","2,700.00",,827.58,551.73,40.00,,,,,,,,,,,,,
GI 079,Gi Stand Pipe 3/4x1ft,PACLINV0059275,,,474.14,800.00,,232.77,241.37,50.91,,,,,,,,,,,,,
GI 081,Gi Tee 1,PACLINV0054328,,,181.04,110.00,,126.52,54.52,30.11,,,,,,,,,,,,,
GI 082,Gi Tee 1/2,PACLINV0059176,,,"1,668.08",60.00,,"1,420.81",247.27,14.82,,,,,,,,,,,,,
GI 083,Gi Tee 11/2,PACLINV0034511,,,215.52,250.00,,150.00,65.52,30.40,,,,,,,,,,,,,
GI 085,Gi Tee 2,PACLINV0030332,,,137.93,160.00,,120.00,17.93,13.00,,,,,,,,,,,,,
GI 088,Gi Tee 3/4,PACLINV0052863,,,547.39,50.00,,374.30,173.09,31.62,,,,,,,,,,,,,
GI 089,Gi Union 1,PACLINV0042092,,,"1,034.47",200.00,,744.10,290.37,28.07,,,,,,,,,,,,,
GI 090,Gi Union 1/2,PACLINV0036446,,,56.03,65.00,,45.09,10.94,19.53,,,,,,,,,,,,,
GI 092,Gi Union 11/4,PACLINV0045196,,,344.83,800.00,,290.26,54.57,15.83,,,,,,,,,,,,,
GI 095,Gi Union 3/4,PACLINV0060067,,,"1,668.14",120.00,,"1,205.74",462.40,27.72,,,,,,,,,,,,,
GLA006,Glass Clear 3mm,PACLINV0043170,,,"9,254.32","6,400.00",,"5,143.98","4,110.34",44.42,,,,,,,,,,,,,
GLA007,Glass Clear 4mm,PACLINV0054715,,,"4,254.32",560.00,,"2,748.00","1,506.32",35.41,,,,,,,,,,,,,
GLA008,Glass Clear 5mm,PACLINV0057864,,,"4,137.94","3,500.00",,"2,715.61","1,422.32",34.37,,,,,,,,,,,,,
GLA012,Glass Flowered 3mm,PACLINV0049316,,,"1,978.45","17,000.00",,931.10,"1,047.35",52.94,,,,,,,,,,,,,
GLA013,Glass Gold Bronze 4mm,PACLINV0047815,,,982.76,"6,840.00",,530.88,451.88,45.98,,,,,,,,,,,,,
GLA015,Glass Mirror 4mm,PACLINV0049185,,,"5,349.14","5,000.00",,"4,152.99","1,196.14",22.36,,,,,,,,,,,,,
GLA017,Glass Obs Blue 3mm,PACLINV0029111,,,931.04,"2,430.00",,775.89,155.15,16.66,,,,,,,,,,,,,
GLA018,Glass One Way Blue,PACLINV0051912,,,818.97,"4,750.00",,448.20,370.77,45.27,,,,,,,,,,,,,
GLA023,Glass Tint Grey 4mm,PACLINV0048511,,,"1,327.59",800.00,,758.64,568.95,42.86,,,,,,,,,,,,,
GLA024,Glass Tint Grey Indi,PACLINV0055366,,,"5,431.03","198,450.00",,"3,394.44","2,036.59",37.50,,,,,,,,,,,,,
GLO004,Gloves Leather H/G,PACLINV0032715,,,474.14,550.00,,206.90,267.24,56.36,,,,,,,,,,,,,
GLO005,Gloves Leather Short,PACLINV0057930,,,"19,051.71",550.00,,"13,359.90","5,691.81",29.88,,,,,,,,,,,,,
GLO007,Gloves Rubber H/G,PACLINV0061265,,,"22,612.03","2,800.00",,"9,181.01","13,431.02",59.40,,,,,,,,,,,,,
GLO008,Gloves Rubber L/G,PACLINV0061025,,,"2,543.10",250.00,,"1,008.67","1,534.43",60.34,,,,,,,,,,,,,
GOO001,Gauze Wire Mtrs,PACLINV0059041,,,"20,025.88","4,900.00",,"9,997.09","10,028.79",50.08,,,,,,,,,,,,,
GOO002,Gauze  Wire Roll,PACLINV0030811,,,"8,017.24","6,000.00",,"6,174.58","1,842.66",22.98,,,,,,,,,,,,,
GRE002,Grey Oxide Powder 1kg,PACLINV0047886,,,"4,008.61","35,000.00",,"2,062.62","1,945.99",48.55,,,,,,,,,,,,,
GRE003,Green  Oxide 1kg,PACLINV0054246,,,"1,637.93","1,400.00",,827.58,810.35,49.47,,,,,,,,,,,,,
GRI004,Grinding Disc 9,PACLINV0030820,,,517.24,300.00,,481.10,36.14,6.99,,,,,,,,,,,,,
GRO002,Grout 1kg Cream,PACLINV0048512,,,"1,275.86","2,400.00",,597.60,678.26,53.16,,,,,,,,,,,,,
GRO005,Grout 3kg Grey,PACLINV0056780,,,"5,948.27","4,050.00",,"1,847.40","4,100.87",68.94,,,,,,,,,,,,,
GRO006,Grout 3kg White,PACLINV0059884,,,"9,637.92","1,800.00",,"3,037.92","6,600.00",68.48,,,,,,,,,,,,,
GRO015,Grout 1kg Grey-Fuga,PACLINV0058157,,,"58,232.70",150.00,,"18,583.22","39,649.48",68.09,,,,,,,,,,,,,
GRO016,Grout 1kg White-Fuga,PACLINV0060219,,,"45,112.03","2,400.00",,"14,091.57","31,020.46",68.76,,,,,,,,,,,,,
GRO017,Grout white-kalekim 3kg,PACLINV0043359,,,"5,775.86",450.00,,"3,491.40","2,284.46",39.55,,,,,,,,,,,,,
GRO018,Grout Grey- Kalekim 3kg,PACLINV0057034,,,"10,189.62",400.00,,"6,051.76","4,137.86",40.61,,,,,,,,,,,,,
GUM003,Gum Poles Small,PACLINV0051256,,,"1,965.52",600.00,,"1,400.88",564.64,28.73,,,,,,,,,,,,,
GUM004,Gumboot  No 6,PACLINV0050226,,,"4,059.36",600.00,,"3,311.22",748.14,18.43,,,,,,,,,,,,,
GUM005,Gumboot  No 7,PACLINV0050367,,,"7,112.06",446.00,,"5,026.26","2,085.80",29.33,,,,,,,,,,,,,
GUM006,Gumboot  No 8,PACLINV0043035,,,"3,879.32",750.00,,"2,331.18","1,548.14",39.91,,,,,,,,,,,,,
GUM007,Gumboot  No 10,PACLINV0054548,,,"4,060.35","4,230.00",,"3,170.04",890.31,21.93,,,,,,,,,,,,,
GUM008,Gumboot  No 9,PACLINV0050226,,,"6,218.10",600.00,,"4,938.40","1,279.70",20.58,,,,,,,,,,,,,
GUM009,Gumboot H/G  No 6,PACLINV0060083,,,"3,706.89",750.00,,"2,839.82",867.07,23.39,,,,,,,,,,,,,
GUM010,Gumboot H/G  No 7,PACLINV0056037,,,"6,295.93",750.00,,"5,215.54","1,080.39",17.16,,,,,,,,,,,,,
Inventory Sales Analysis,,,,,,,,,,,,,,,,,,,,Page 17 of 36,,,
,,,Amount (VAT,,,Amount (VAT,,,,,,,,,,,,,,,,,
Item Code,Item Description,Reference,,,Quantity,Cost,,,Profit,Profit %,,,,Markup %,,,,,,,,,
Linked Account:,,,,,,0,,,,,,,,,,,,,,,,,
